98020,EDMONDS,WA,SNOHOMISH,425,P,,EDMONDS,47.806122,-122.375454,8,21,61,Y,Z16735, , ,53,Z16735,,P,Edmonds,Edmonds,53,61,P,Y,D,542506,,Snohomish
98020,EDMONDS,WA,SNOHOMISH,425,N,,WOODWAY,47.806122,-122.375454,8,21,61,Y,Z16735, , ,53,Z17758,, ,Edmonds,Woodway,53,61,N,Y,D,542506,,Snohomish
98021,BOTHELL,WA,SNOHOMISH,425,N,,THRASHERS CORNER,47.796364,-122.205166,8,21,61,Y,Z16521, , ,53,Z17618,, ,Bothell,Thrashers Corner,53,61,N,Y,D,540784,,Snohomish
98021,BOTHELL,WA,SNOHOMISH,425,P,,BOTHELL,47.796364,-122.205166,8,21,61,Y,Z16521, , ,53,Z16521,,P,Bothell,Bothell,53,61,P,Y,D,540784,,Snohomish
98021,BOTHELL,WA,SNOHOMISH,425,N,,QUEENSBOROUGH,47.796364,-122.205166,8,21,61,Y,Z16521, , ,53,Z17338,, ,Bothell,Queensborough,53,61,N,Y,D,540784,,Snohomish
98021,BOTHELL,WA,SNOHOMISH,425,N,,KENNARD CORNER,47.796364,-122.205166,8,21,61,Y,Z16521, , ,53,Z16966,, ,Bothell,Kennard Corner,53,61,N,Y,D,540784,,Snohomish
98022,ENUMCLAW,WA,KING,360/564,N,,KRAIN,47.088064,-121.711476,8,10,33,Y,Z16755, ,Y,53,Z16991,, ,Enumclaw,Krain,53,33,N,Y,D,542688,,King
98022,ENUMCLAW,WA,KING,360/564,N,,CRYSTAL MOUNTAIN,47.088064,-121.711476,8,10,33,Y,Z16755, ,Y,53,Z16664,, ,Enumclaw,Crystal Mountain,53,33,N,Y,D,542688,,King
98022,ENUMCLAW,WA,KING,360/564,P,,ENUMCLAW,47.088064,-121.711476,8,10,33,Y,Z16755, ,Y,53,Z16755,,P,Enumclaw,Enumclaw,53,33,P,Y,D,542688,,King
98022,ENUMCLAW,WA,KING,360/564,N,,GREENWATER,47.088064,-121.711476,8,10,33,Y,Z16755, ,Y,53,Z16873,, ,Enumclaw,Greenwater,53,33,N,Y,D,542688,,King
98022,ENUMCLAW,WA,KING,360/564,N,,OSCEOLA,47.088064,-121.711476,8,10,33,Y,Z16755, ,Y,53,Z17248,, ,Enumclaw,Osceola,53,33,N,Y,D,542688,,King
98022,ENUMCLAW,WA,KING,360/564,N,,CUMBERLAND,47.088064,-121.711476,8,10,33,Y,Z16755, ,Y,53,Z16666,, ,Enumclaw,Cumberland,53,33,N,Y,D,542688,,King
98022,ENUMCLAW,WA,KING,360/564,N,,WABASH,47.088064,-121.711476,8,10,33,Y,Z16755, ,Y,53,Z17681,, ,Enumclaw,Wabash,53,33,N,Y,D,542688,,King
98023,FEDERAL WAY,WA,KING,253,N,,FEDERAL WAY,47.303898,-122.375736,8,10,33,Y,Z16786, , ,53,Z16786,,P,Federal Way,Federal Way,53,33,N,Y,D,540490,,King
98023,FEDERAL WAY,WA,KING,253,P,,AUBURN,47.303898,-122.375736,8,10,33,Y,Z16786, , ,53,Z16461,, ,Federal Way,Auburn,53,33,P,Y,D,540490,,King
98024,FALL CITY,WA,KING,425,N,,SPRING GLEN,47.615395,-121.78244,8,10,33,Y,Z16783, , ,53,Z17495,, ,Fall City,Spring Glen,53,33,N,N,D,542842,,King
98024,FALL CITY,WA,KING,425,P,,FALL CITY,47.615395,-121.78244,8,10,33,Y,Z16783, , ,53,Z16783,,P,Fall City,Fall City,53,33,P,N,D,542842,,King
98024,FALL CITY,WA,KING,425,N,,LAKE ALICE,47.615395,-121.78244,8,10,33,Y,Z16783, , ,53,Z17001,, ,Fall City,Lake Alice,53,33,N,N,D,542842,,King
98025,HOBART,WA,KING,425,Z,,HOBART,47.438574,-121.889326,8,10,33,Y,Z16911,P, ,53,Z16911,,P,Hobart,Hobart,53,33,P,N,C,543626,,King
98026,EDMONDS,WA,SNOHOMISH,425,P,,EDMONDS,47.835642,-122.325836,8,21,61,Y,Z16735, , ,53,Z16735,,P,Edmonds,Edmonds,53,61,P,Y,D,542506,,Snohomish
98027,ISSAQUAH,WA,KING,425,P,,ISSAQUAH,47.496383,-121.990901,8,10,33,Y,Z16943, , ,53,Z16943,,P,Issaquah,Issaquah,53,33,P,Y,D,543878,,King
98027,ISSAQUAH,WA,KING,425,N,,PINE LAKE,47.496383,-121.990901,8,10,33,Y,Z16943, , ,53,Z17286,, ,Issaquah,Pine Lake,53,33,N,Y,D,543878,,King
98027,ISSAQUAH,WA,KING,425,N,,COAL CREEK,47.496383,-121.990901,8,10,33,Y,Z16943, , ,53,Z16620,, ,Issaquah,Coal Creek,53,33,N,Y,D,543878,,King
98028,KENMORE,WA,KING,425,B,,KENMORE,47.754876,-122.247104,8,10,33,Y,Z18897, , ,53,Z18897,,P,Kenmore,Kenmore,53,33,B,Y,D,540784,,King
98028,KENMORE,WA,KING,425,P,,BOTHELL,47.754876,-122.247104,8,10,33,Y,Z18897, , ,53,Z16521,, ,Kenmore,Bothell,53,33,P,Y,D,540784,,King
98029,ISSAQUAH,WA,KING,425,P,,ISSAQUAH,47.559603,-122.02395,8,10,33,Y,Z16943, , ,53,Z16943,,P,Issaquah,Issaquah,53,33,P,Y,D,543878,,King
98029,ISSAQUAH,WA,KING,425,N,,SAMMAMISH,47.559603,-122.02395,8,10,33,Y,Z16943, , ,53,Z18970,, ,Issaquah,Sammamish,53,33,N,Y,D,543878,,King
98030,KENT,WA,KING,253,P,,KENT,47.362358,-122.19828,8,10,33,Y,Z16970, , ,53,Z16970,,P,Kent,Kent,53,33,P,Y,D,544060,,King
98031,KENT,WA,KING,253/425,P,,KENT,47.4139,-122.19809,8,10,33,Y,Z16970, , ,53,Z16970,,P,Kent,Kent,53,33,P,Y,D,544060,,King
98032,KENT,WA,KING,253/425,N,,WOODMONT BEACH,47.392329,-122.264592,8,10,33,Y,Z16970, , ,53,Z17757,, ,Kent,Woodmont Beach,53,33,N,Y,D,544060,,King
98032,KENT,WA,KING,253/425,P,,KENT,47.392329,-122.264592,8,10,33,Y,Z16970, , ,53,Z16970,,P,Kent,Kent,53,33,P,Y,D,544060,,King
98032,KENT,WA,KING,253/425,N,,MIDWAY,47.392329,-122.264592,8,10,33,Y,Z16970, , ,53,Z17139,, ,Kent,Midway,53,33,N,Y,D,544060,,King
98033,KIRKLAND,WA,KING,425/206,N,,HOUGHTON,47.673156,-122.197628,8,10,33,Y,Z16983, , ,53,Z16921,, ,Kirkland,Houghton,53,33,N,Y,D,544144,,King
98033,KIRKLAND,WA,KING,425/206,P,,KIRKLAND,47.673156,-122.197628,8,10,33,Y,Z16983, , ,53,Z16983,,P,Kirkland,Kirkland,53,33,P,Y,D,544144,,King
98033,KIRKLAND,WA,KING,425/206,N,,JUANITA,47.673156,-122.197628,8,10,33,Y,Z16983, , ,53,Z16948,, ,Kirkland,Juanita,53,33,N,Y,D,544144,,King
98033,KIRKLAND,WA,KING,425/206,P,,REDMOND,47.673156,-122.197628,8,10,33,Y,Z16983, , ,53,Z17353,, ,Kirkland,Redmond,53,33,P,Y,D,544144,,King
98033,KIRKLAND,WA,KING,425/206,N,,TOTEM LAKE,47.673156,-122.197628,8,10,33,Y,Z16983, , ,53,Z17628,, ,Kirkland,Totem Lake,53,33,N,Y,D,544144,,King
98034,KIRKLAND,WA,KING,425/206,N,,TOTEM LAKE,47.715193,-122.210637,8,10,33,Y,Z16983, , ,53,Z17628,, ,Kirkland,Totem Lake,53,33,N,Y,D,544144,,King
